Detailed Job Status
"This report shows the jobs details for selected job types, policy types and schedule types "
"Report Time Frame:Jan 15, 2024 12:00:00 AM to Feb 16, 2024 11:59:00 PM"
Job ID,Server Name,Status Code,Job Type,Client Name,Start Time,End Time,Duration,Volume(GB),Number of Files ,Throughput (KB/sec)
1,Siebackup,0,Catalog Backup,L-SIEBACKUP,"Feb 13, 2024 12:12:44 PM","Feb 13, 2024 12:21:56 PM",00:09:12,0,0,0
2,Siebackup,0,Catalog Backup,L-SIEBACKUP,"Feb 13, 2024 12:13:17 PM","Feb 13, 2024 12:14:09 PM",00:00:52,0,0,0
3,Siebackup,0,Catalog Backup,L-SIEBACKUP,"Feb 13, 2024 12:13:20 PM","Feb 13, 2024 12:13:32 PM",00:00:12,0.04,22,"267,324"
4,Siebackup,0,Catalog Backup,L-SIEBACKUP,"Feb 13, 2024 12:14:12 PM","Feb 13, 2024 12:21:56 PM",00:07:44,0.54,"31,453","317,063"
5,Siebackup,196,Backup,sapdev-bck,"Feb 13, 2024 12:22:15 PM","Feb 13, 2024 12:22:18 PM",00:00:03,0,0,0
6,Siebackup,0,Image Cleanup,UNKNOWN,"Feb 13, 2024 12:22:16 PM","Feb 13, 2024 12:22:47 PM",00:00:31,0,0,0
7,Siebackup,196,Backup,acueakanala-bck,"Feb 13, 2024 12:22:19 PM","Feb 13, 2024 12:22:34 PM",00:00:15,0,0,0
8,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 12:22:22 PM","Feb 13, 2024 12:22:38 PM",00:00:16,0,0,0
9,Siebackup,0,Backup,acueora04,"Feb 13, 2024 12:22:24 PM","Feb 13, 2024 12:23:22 PM",00:00:58,0,0,0
10,Siebackup,0,Backup,EACENNT16,"Feb 13, 2024 12:22:26 PM","Feb 13, 2024 12:23:42 PM",00:01:16,0.03,1,"124,619"
11,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 12:22:27 PM","Feb 13, 2024 12:22:38 PM",00:00:11,0,29,"1,040,000"
12,Siebackup,0,Backup,acueora04,"Feb 13, 2024 12:22:40 PM","Feb 13, 2024 12:23:14 PM",00:00:34,1.55,9,"85,634"
13,Siebackup,0,Backup,ACUECORI,"Feb 13, 2024 2:00:37 PM","Feb 13, 2024 2:11:04 PM",00:10:27,0,0,0
14,Siebackup,0,Backup,backupsmp,"Feb 13, 2024 2:01:35 PM","Feb 13, 2024 2:31:54 PM",00:30:19,6.49,51,"3,928"
15,Siebackup,0,Backup,ACUECORI,"Feb 13, 2024 2:02:09 PM","Feb 13, 2024 2:09:54 PM",00:07:45,10.41,1,"147,851"
16,Siebackup,0,Backup,ACUECORI,"Feb 13, 2024 2:02:09 PM","Feb 13, 2024 2:08:42 PM",00:06:33,4.38,1,"152,191"
17,Siebackup,0,Backup,ACUECORI,"Feb 13, 2024 2:02:09 PM","Feb 13, 2024 2:03:56 PM",00:01:47,0.2,1,"55,832"
18,Siebackup,636,Backup,L-SIEBACKUP,"Feb 13, 2024 2:06:55 PM","Feb 13, 2024 5:41:43 PM",03:34:48,0,0,0
19,Siebackup,636,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 2:06:59 PM","Feb 13, 2024 5:41:43 PM",03:34:44,0,0,0
20,Siebackup,636,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 2:06:59 PM","Feb 13, 2024 5:41:43 PM",03:34:44,0,0,0
21,Siebackup,636,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 2:06:59 PM","Feb 13, 2024 5:41:43 PM",03:34:44,0,0,0
22,Siebackup,636,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 2:06:59 PM","Feb 13, 2024 5:41:43 PM",03:34:44,0,0,0
23,Siebackup,636,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 2:06:59 PM","Feb 13, 2024 5:41:43 PM",03:34:44,0,0,0
